"Index","RealEstate.Close"
2002-03-22,100
2002-03-25,100.31
2002-03-26,100.18
2002-03-27,100.08
2002-03-28,100.45
2002-04-02,99.13
2002-04-03,99.56
2002-04-04,99.23
2002-04-05,99.9
2002-04-08,100.27
2002-04-09,100.5
2002-04-10,100.66
2002-04-11,101.27
2002-04-12,102.58
2002-04-15,102.12
2002-04-16,102.83
2002-04-17,103.53
2002-04-18,104.32
2002-04-19,104.54
2002-04-22,106
2002-04-23,105.93
2002-04-24,105.61
2002-04-25,105.53
2002-04-26,105.28
2002-04-29,105.62
2002-04-30,105.7
2002-05-02,106.33
2002-05-03,107.06
2002-05-06,108.17
2002-05-07,108.61
2002-05-08,110.09
2002-05-09,110.58
2002-05-10,111.19
2002-05-13,111.54
2002-05-14,111.48
2002-05-15,111.07
2002-05-16,111.2
2002-05-17,110.73
2002-05-20,111.3
2002-05-21,112.57
2002-05-22,112.37
2002-05-23,112.18
2002-05-24,112.06
2002-05-27,111.66
2002-05-28,111.89
2002-05-29,112.25
2002-05-30,111.94
2002-05-31,110.49
2002-06-03,112.05
2002-06-04,112.53
2002-06-05,112.54
2002-06-06,110.67
2002-06-07,110.26
2002-06-10,110.03
2002-06-11,109.98
2002-06-12,109.65
2002-06-13,109.98
2002-06-14,110.08
2002-06-17,110.08
2002-06-18,109.7
2002-06-19,109.59
2002-06-20,109.85
2002-06-21,109.69
2002-06-24,109.39
2002-06-25,109.34
2002-06-26,109.16
2002-06-27,108.93
2002-06-28,108.65
2002-07-01,108.57
2002-07-02,108.77
2002-07-03,108.2
2002-07-04,108.88
2002-07-05,109.11
2002-07-08,109.01
2002-07-09,109.2
2002-07-10,109.44
2002-07-11,109.92
2002-07-12,109.79
2002-07-15,110.23
2002-07-16,110.38
2002-07-17,110.24
2002-07-18,110.52
2002-07-19,111.2
2002-07-22,111.25
2002-07-23,112.32
2002-07-24,111.61
2002-07-25,112.44
2002-07-26,112.18
2002-07-29,111.77
2002-07-30,111.94
2002-07-31,112.12
2002-08-01,112.73
2002-08-02,112.43
2002-08-05,111.26
2002-08-06,111.38
2002-08-07,111.17
2002-08-08,111.45
2002-08-12,110.97
2002-08-13,111.48
2002-08-14,111.56
2002-08-15,111.4
2002-08-16,111.36
2002-08-19,112.07
2002-08-20,111.52
2002-08-21,111.44
2002-08-22,111.83
2002-08-23,112.1
2002-08-26,112.39
2002-08-27,111.74
2002-08-28,112.78
2002-08-29,113.47
2002-08-30,113.31
2002-09-02,113.48
2002-09-03,113.03
2002-09-04,113.52
2002-09-05,113.28
2002-09-06,112.43
2002-09-09,112.24
2002-09-10,112.53
2002-09-11,112.43
2002-09-12,112.38
2002-09-13,113.37
2002-09-16,113.23
2002-09-17,113.2
2002-09-18,113.49
2002-09-19,113.7
2002-09-20,113.76
2002-09-23,113.34
2002-09-25,113.08
2002-09-26,112.97
2002-09-27,113.07
2002-09-30,112.73
2002-10-01,113.2
2002-10-02,112.94
2002-10-03,112.8
2002-10-04,113.02
2002-10-07,112.82
2002-10-08,112.85
2002-10-09,113.2
2002-10-10,112.99
2002-10-11,113.23
2002-10-14,113.45
2002-10-15,113.57
2002-10-16,113.48
2002-10-17,114.27
2002-10-18,114.17
2002-10-21,114.29
2002-10-22,114.6
2002-10-23,114.77
2002-10-24,114.96
2002-10-25,114.71
2002-10-28,115.1
2002-10-29,115.14
2002-10-30,115.47
2002-10-31,115.62
2002-11-01,116.08
2002-11-04,116.54
2002-11-05,117.07
2002-11-06,117.34
2002-11-07,117.7
2002-11-08,118.87
2002-11-11,118.87
2002-11-12,119.4
2002-11-13,120.15
2002-11-14,121.04
2002-11-15,122.07
2002-11-18,122.9
2002-11-19,122.58
2002-11-20,122.71
2002-11-21,122.45
2002-11-22,122.43
2002-11-25,122.59
2002-11-26,122.68
2002-11-27,122.65
2002-11-28,123.11
2002-11-29,123.41
2002-12-02,123.87
2002-12-03,123.42
2002-12-04,123.53
2002-12-05,123.72
2002-12-06,123.43
2002-12-09,124.26
2002-12-10,124.58
2002-12-11,125.13
2002-12-12,124.78
2002-12-13,125.35
2002-12-17,125.97
2002-12-18,125.95
2002-12-19,126.12
2002-12-20,126.03
2002-12-23,126.16
2002-12-24,126.79
2002-12-27,126.76
2002-12-30,126.76
2002-12-31,126.89
2003-01-02,127.47
2003-01-03,127.68
2003-01-06,127.42
2003-01-07,127.63
2003-01-08,128.03
2003-01-09,127.95
2003-01-10,128.02
2003-01-13,127.85
2003-01-14,128.57
2003-01-15,128.88
2003-01-16,128.69
2003-01-17,128.95
2003-01-20,129.56
2003-01-21,129.43
2003-01-22,129.46
2003-01-23,130.01
2003-01-24,129.96
2003-01-27,130.12
2003-01-28,130.11
2003-01-29,129.94
2003-01-30,130.18
2003-01-31,130.22
2003-02-03,130.11
2003-02-04,130.3
2003-02-05,130.01
2003-02-06,130.02
2003-02-07,131.25
2003-02-10,131.24
2003-02-11,131.15
2003-02-12,131.15
2003-02-13,131.27
2003-02-14,131.53
2003-02-17,132.04
2003-02-18,133.23
2003-02-19,131.41
2003-02-20,131.56
2003-02-21,131.97
2003-02-24,133.61
2003-02-25,134.43
2003-02-26,134.99
2003-02-27,137.21
2003-02-28,137.53
2003-03-03,138.32
2003-03-04,138.92
2003-03-05,139.98
2003-03-06,141.91
2003-03-07,140.7
2003-03-10,142.16
2003-03-11,141.98
2003-03-12,143.34
2003-03-13,143.79
2003-03-14,143.95
2003-03-17,143.36
2003-03-18,143.92
2003-03-19,144.64
2003-03-20,144.56
2003-03-24,145.06
2003-03-25,144.44
2003-03-26,144.45
2003-03-27,144.2
2003-03-28,144.49
2003-03-31,144.23
2003-04-01,144.42
2003-04-02,144.55
2003-04-03,144.36
2003-04-04,143.85
2003-04-07,143.9
2003-04-08,143.26
2003-04-09,143.31
2003-04-10,143.67
2003-04-11,143.7
2003-04-14,143.91
2003-04-15,143.7
2003-04-16,142.91
2003-04-17,143.67
2003-04-22,143.39
2003-04-23,143.35
2003-04-24,142.26
2003-04-25,141.68
2003-04-29,141.03
2003-04-30,141.44
2003-05-02,141.11
2003-05-05,141.82
2003-05-06,142.78
2003-05-07,143.59
2003-05-08,143.9
2003-05-09,143.84
2003-05-12,143.77
2003-05-13,143.62
2003-05-14,143.78
2003-05-15,143.63
2003-05-16,141.77
2003-05-19,140.52
2003-05-20,140.32
2003-05-21,140.65
2003-05-22,140.24
2003-05-23,140.77
2003-05-26,141.97
2003-05-27,143.36
2003-05-28,145.13
2003-05-29,145.09
2003-05-30,145.57
2003-06-02,143.64
2003-06-03,146.37
2003-06-04,147.59
2003-06-05,148.11
2003-06-06,147.79
2003-06-09,148.14
2003-06-10,148.29
2003-06-11,150.08
2003-06-12,150.98
2003-06-13,151.41
2003-06-17,151.87
2003-06-18,151.61
2003-06-19,152.07
2003-06-20,152.48
2003-06-23,153.76
2003-06-24,152.97
2003-06-25,152.7
2003-06-26,152.87
2003-06-27,154.06
2003-06-30,154.51
2003-07-01,154.74
2003-07-02,155.47
2003-07-03,156
2003-07-04,154.18
2003-07-07,154.14
2003-07-08,155.1
2003-07-09,154.65
2003-07-10,154.47
2003-07-11,154.57
2003-07-14,154.79
2003-07-15,154.61
2003-07-16,153.59
2003-07-17,153.34
2003-07-18,153.58
2003-07-21,153.98
2003-07-22,153.69
2003-07-23,154.47
2003-07-24,154.83
2003-07-25,154.66
2003-07-28,154.37
2003-07-29,154.35
2003-07-30,154.45
2003-07-31,154.06
2003-08-01,153.87
2003-08-04,154.26
2003-08-05,154.1
2003-08-06,154.41
2003-08-07,153.62
2003-08-08,153.96
2003-08-11,153.44
2003-08-12,154.27
2003-08-13,154.17
2003-08-14,154.83
2003-08-15,154.44
2003-08-18,154.27
2003-08-19,154.47
2003-08-20,154.16
2003-08-21,153.01
2003-08-22,152.56
2003-08-25,152.64
2003-08-26,152.43
2003-08-27,152.1
2003-08-28,152.33
2003-08-29,150.81
2003-09-01,151.83
2003-09-02,151.59
2003-09-03,150.22
2003-09-04,149.25
2003-09-05,148.52
2003-09-08,148.55
2003-09-09,148.44
2003-09-10,148.99
2003-09-11,150.79
2003-09-12,150.58
2003-09-15,150.63
2003-09-16,151.09
2003-09-17,151.8
2003-09-18,152.46
2003-09-19,152.21
2003-09-22,152.69
2003-09-23,151.96
2003-09-25,151.86
2003-09-26,151.68
2003-09-29,150.68
2003-09-30,151.61
2003-10-01,152.61
2003-10-02,153.19
2003-10-03,154.67
2003-10-06,154.87
2003-10-07,155.59
2003-10-08,155.89
2003-10-09,156.22
2003-10-10,157.14
2003-10-13,157.81
2003-10-14,158.57
2003-10-15,159.24
2003-10-16,158.34
2003-10-17,158.46
2003-10-20,159.8
2003-10-21,160.58
2003-10-22,161.22
2003-10-23,163.3
2003-10-24,165.94
2003-10-27,166.66
2003-10-28,167.17
2003-10-29,169.43
2003-10-30,170.94
2003-10-31,171.14
2003-11-03,171.78
2003-11-04,172.27
2003-11-05,171.41
2003-11-06,171.92
2003-11-07,172.31
2003-11-10,171.78
2003-11-11,171.38
2003-11-12,171.04
2003-11-13,171.39
2003-11-14,171.23
2003-11-17,170.56
2003-11-18,168.89
2003-11-19,168.3
2003-11-20,167.89
2003-11-21,166.88
2003-11-24,168.03
2003-11-25,168.66
2003-11-26,169.4
2003-11-27,169.57
2003-11-28,170.23
2003-12-01,170.67
2003-12-02,170.05
2003-12-03,170.4
2003-12-04,170.72
2003-12-05,171.47
2003-12-08,173.72
2003-12-09,175.16
2003-12-10,174.97
2003-12-11,174.69
2003-12-12,176.4
2003-12-15,178.46
2003-12-17,179.97
2003-12-18,180.91
2003-12-19,181.4
2003-12-22,180.58
2003-12-23,179.45
2003-12-24,178.97
2003-12-29,177.98
2003-12-30,178.48
2003-12-31,178.91
2004-01-02,180.83
2004-01-05,180.32
2004-01-06,180.59
2004-01-07,180.16
2004-01-08,180.3
2004-01-09,181.43
2004-01-12,181.38
2004-01-13,179.34
2004-01-14,177.88
2004-01-15,176.67
2004-01-16,173.46
2004-01-19,173.65
2004-01-20,173.11
2004-01-21,172.39
2004-01-22,172.35
2004-01-23,171.57
2004-01-26,171.38
2004-01-27,170.35
2004-01-28,170.24
2004-01-29,170.38
2004-01-30,170.83
2004-02-02,170.64
2004-02-03,170.36
2004-02-04,170.9
2004-02-05,171.1
2004-02-06,170.71
2004-02-09,170.59
2004-02-10,170.7
2004-02-11,171.32
2004-02-12,171.6
2004-02-13,171.74
2004-02-16,171.57
2004-02-17,172.1
2004-02-18,172.43
2004-02-19,172.96
2004-02-20,172.82
2004-02-23,172.71
2004-02-24,173.2
2004-02-25,173.65
2004-02-26,173.81
2004-02-27,173.92
2004-03-01,173.88
2004-03-02,174.67
2004-03-03,174.49
2004-03-04,174.54
2004-03-05,174.78
2004-03-08,174.66
2004-03-09,175.06
2004-03-10,174.69
2004-03-11,174.46
2004-03-12,175.49
2004-03-15,174.95
2004-03-16,174.73
2004-03-17,175.54
2004-03-18,175.83
2004-03-19,175.98
2004-03-23,176.3
2004-03-24,176.41
2004-03-25,176.86
2004-03-26,177.13
2004-03-29,177.28
2004-03-30,177.52
2004-03-31,176.99
2004-04-01,177.78
2004-04-02,177.93
2004-04-05,178.25
2004-04-06,178.74
2004-04-07,179.4
2004-04-08,179.5
2004-04-13,179.59
2004-04-15,181.46
2004-04-16,182.03
2004-04-19,182.59
2004-04-20,181.84
2004-04-21,181.88
2004-04-22,181.93
2004-04-23,181.66
2004-04-26,181.41
2004-04-28,182.85
2004-04-29,182.93
2004-04-30,182.48
