Date,JALSH,MSCIWORLD,SA10YR,GSCI,JASPY,TBILLS,SACPI,USDZAR
25964,1,1,1,1,#N/A,1,1,1
25992,1.006601042,1.011113521,1.006450392,0.990883147,#N/A,1.003833333,1,1.000561956
26023,1.025144988,1.055185093,0.962774917,1.000942594,#N/A,1.007823571,1,1.000280978
26053,1.076708792,1.088611305,0.969585409,1.00623773,#N/A,1.012031234,1,0.999297555
26084,1.102386717,1.063430183,0.976444076,1.043921163,#N/A,1.016678144,1,0.999859511
26114,1.107559021,1.073325207,0.98335126,1.032468559,#N/A,1.021346391,1,0.999016578
26145,1.128357515,1.056761295,0.990307305,1.039991423,#N/A,1.026027562,1,0.999578533
26176,1.031423987,1.064193685,0.997312555,1.020293474,#N/A,1.030738739,1.0625,0.985108176
26206,0.960516772,1.068959295,1.004367359,1.03461614,#N/A,1.035445779,1.0625,0.999016578
26237,0.854784713,1.031297446,1.011472068,1.085567208,#N/A,1.040182944,1.0625,1.001826356
26267,0.954123437,1.040597635,1.018627034,1.114685638,#N/A,1.045002458,1.0625,1.002388311
26298,1.026804166,1.219385637,1.025832612,1.241565526,#N/A,1.04996622,1.0625,1.077549874
26329,1.149669846,1.243750455,1.033089162,1.268904933,#N/A,1.055137303,1.0625,1.060269739
26358,1.167435155,1.284279625,1.040397043,1.25835636,#N/A,1.060377819,1.0625,1.054369205
26389,1.276581904,1.295687931,1.047756619,1.267871158,#N/A,1.065617852,1.0625,1.049171115
26419,1.345691031,1.319383905,1.055168255,1.312316875,#N/A,1.070892661,1.0625,1.054369205
26450,1.463075201,1.338726995,1.06263232,1.335486451,#N/A,1.076024021,1.0625,1.048468671
26480,1.486075725,1.368982786,1.070149184,1.435144713,#N/A,1.081009599,1.0625,1.097639786
26511,1.609012485,1.422334589,1.077719221,1.455113999,#N/A,1.085982243,1.125,1.123068278
26542,1.672338841,1.463837643,1.103447113,1.543182711,#N/A,1.090878213,1.125,1.123911211
26572,1.659355548,1.441563202,1.120717785,1.659987588,#N/A,1.095087185,1.125,1.123911211
26603,1.658108515,1.423867274,1.128291555,1.609688844,#N/A,1.099339774,1.125,1.10101152
26633,1.658057069,1.500899667,1.13591651,1.6756077,#N/A,1.103837906,1.125,1.102697387
26664,1.744717152,1.526062634,1.142825667,1.806860574,#N/A,1.108317648,1.125,1.10101152
26695,1.731502715,1.529570803,1.151330674,1.86857905,#N/A,1.112483075,1.125,1.10101152
26723,1.778648531,1.40375306,1.159111327,1.7769509,#N/A,1.116423119,1.125,1.003512223
26754,1.832681304,1.390362895,1.196407405,1.715694835,#N/A,1.120358511,1.125,0.992554088
26784,1.810163106,1.311334644,1.204124702,1.806898324,#N/A,1.124335783,1.1875,0.985810621
26815,1.912760009,1.316368706,1.211891777,2.151039914,#N/A,1.127793116,1.1875,0.992554088
26845,2.086688598,1.259207298,1.219708954,2.010145633,#N/A,1.130556209,1.1875,0.943523462
26876,1.959257119,1.290568634,1.227576555,2.53084106,#N/A,1.133062275,1.1875,0.944506884
26907,1.91453836,1.23885831,1.235494904,2.597322104,#N/A,1.135517244,1.1875,0.946052262
26937,1.79213664,1.274705441,1.24346433,2.466853854,#N/A,1.137854517,1.1875,0.946052262
26968,1.860420983,1.285462782,1.251485162,2.331475635,#N/A,1.140291422,1.25,0.944506884
26998,1.551956833,1.118781724,1.259557731,2.453531394,#N/A,1.142800063,1.25,0.944506884
27029,1.835630317,1.111400752,1.246288633,2.716292334,#N/A,1.14539041,1.25,0.946052262
27060,2.125187766,1.118092231,1.233650653,3.014456709,#N/A,1.147986628,1.25,0.944506884
27088,2.223607263,1.135487971,1.242120925,2.998448176,#N/A,1.151851516,1.25,0.944506884
27119,2.605712073,1.10475875,1.250649354,2.648629417,#N/A,1.156362935,1.3125,0.942821017
27149,2.406299321,1.086352262,1.259236341,2.677939154,#N/A,1.160988386,1.3125,0.942821017
27180,2.149214813,1.04478518,1.267882285,2.50198874,#N/A,1.165583965,1.3125,0.944787862
27210,2.005578267,1.005169189,1.255521309,2.793827223,#N/A,1.170246301,1.375,0.938465861
27241,2.242474483,0.945357632,1.203825692,3.458601771,#N/A,1.175795219,1.375,0.938184883
27272,2.204559407,0.888151597,1.175190558,3.419967381,#N/A,1.181478229,1.375,0.975554931
27302,1.920576377,0.812393969,1.184724351,3.867419015,#N/A,1.18752346,1.375,0.984124754
27333,2.174669695,0.890148009,1.194335487,4.215504051,#N/A,1.193688686,1.375,0.984124754
27363,2.107566954,0.864237202,1.204024594,4.238625539,#N/A,1.19976655,1.375,0.97063782
